pos,constructor,wins,podiums,race

1,Cooper,1,1,1958 Argentine Grand Prix
2,Ferrari,0,2,1958 Argentine Grand Prix
3,Maserati,0,0,1958 Argentine Grand Prix
1,Cooper,2,2,1958 Monaco Grand Prix
2,Ferrari,0,4,1958 Monaco Grand Prix
3,Maserati,0,0,1958 Monaco Grand Prix
4,BRM,0,0,1958 Monaco Grand Prix
1,Cooper,2,2,1958 Dutch Grand Prix
2,Ferrari,0,4,1958 Dutch Grand Prix
3,Vanwall,1,1,1958 Dutch Grand Prix
4,BRM,0,2,1958 Dutch Grand Prix
5,Maserati,0,0,1958 Dutch Grand Prix
1,Cooper,2,2,1958 Indianapolis 500
2,Ferrari,0,4,1958 Indianapolis 500
3,Vanwall,1,1,1958 Indianapolis 500
4,BRM,0,2,1958 Indianapolis 500
5,Maserati,0,0,1958 Indianapolis 500
1,Ferrari,0,5,1958 Belgian Grand Prix
2,Cooper,2,2,1958 Belgian Grand Prix
3,Vanwall,2,3,1958 Belgian Grand Prix
4,BRM,0,2,1958 Belgian Grand Prix
5,Maserati,0,0,1958 Belgian Grand Prix
6,Lotus,0,0,1958 Belgian Grand Prix
1,Ferrari,1,7,1958 French Grand Prix
2,Vanwall,2,4,1958 French Grand Prix
3,Cooper,2,2,1958 French Grand Prix
4,BRM,0,2,1958 French Grand Prix
5,Maserati,0,0,1958 French Grand Prix
6,Lotus,0,0,1958 French Grand Prix
1,Ferrari,2,9,1958 British Grand Prix
2,Vanwall,2,4,1958 British Grand Prix
3,Cooper,2,3,1958 British Grand Prix
4,BRM,0,2,1958 British Grand Prix
5,Maserati,0,0,1958 British Grand Prix
6,Lotus,0,0,1958 British Grand Prix
1,Ferrari,2,9,1958 German Grand Prix
2,Vanwall,3,5,1958 German Grand Prix
3,Cooper,2,5,1958 German Grand Prix
4,BRM,0,2,1958 German Grand Prix
5,Maserati,0,0,1958 German Grand Prix
6,Lotus,0,0,1958 German Grand Prix
1,Vanwall,4,7,1958 Portuguese Grand Prix
2,Ferrari,2,10,1958 Portuguese Grand Prix
3,Cooper,2,5,1958 Portuguese Grand Prix
4,BRM,0,2,1958 Portuguese Grand Prix
5,Maserati,0,0,1958 Portuguese Grand Prix
6,Lotus,0,0,1958 Portuguese Grand Prix
1,Vanwall,5,8,1958 Italian Grand Prix
2,Ferrari,2,12,1958 Italian Grand Prix
3,Cooper,2,5,1958 Italian Grand Prix
4,BRM,0,2,1958 Italian Grand Prix
5,Maserati,0,0,1958 Italian Grand Prix
6,Lotus,0,0,1958 Italian Grand Prix
1,Vanwall,6,9,1958 Moroccan Grand Prix
2,Ferrari,2,14,1958 Moroccan Grand Prix
3,Cooper,2,5,1958 Moroccan Grand Prix
4,BRM,0,2,1958 Moroccan Grand Prix
5,Maserati,0,0,1958 Moroccan Grand Prix
6,Lotus,0,0,1958 Moroccan Grand Prix
1,Cooper,1,2,1959 Monaco Grand Prix
2,Ferrari,0,1,1959 Monaco Grand Prix
1,Cooper,1,2,1959 Indianapolis 500
2,Ferrari,0,1,1959 Indianapolis 500
1,Cooper,1,4,1959 Dutch Grand Prix
2,BRM,1,1,1959 Dutch Grand Prix
3,Ferrari,0,1,1959 Dutch Grand Prix
4,Lotus,0,0,1959 Dutch Grand Prix
1,Cooper,1,5,1959 French Grand Prix
2,Ferrari,1,3,1959 French Grand Prix
3,BRM,1,1,1959 French Grand Prix
4,Lotus,0,0,1959 French Grand Prix
1,Cooper,2,7,1959 British Grand Prix
2,Ferrari,1,3,1959 British Grand Prix
3,BRM,1,2,1959 British Grand Prix
4,Lotus,0,0,1959 British Grand Prix
1,Cooper,2,7,1959 German Grand Prix
2,Ferrari,2,6,1959 German Grand Prix
3,BRM,1,2,1959 German Grand Prix
4,Lotus,0,0,1959 German Grand Prix
1,Cooper,3,9,1959 Portuguese Grand Prix
2,Ferrari,2,7,1959 Portuguese Grand Prix
3,BRM,1,2,1959 Portuguese Grand Prix
4,Lotus,0,0,1959 Portuguese Grand Prix
1,Cooper,4,11,1959 Italian Grand Prix
2,Ferrari,2,8,1959 Italian Grand Prix
3,BRM,1,2,1959 Italian Grand Prix
4,Lotus,0,0,1959 Italian Grand Prix
1,Cooper,5,13,1959 United States Grand Prix
2,Ferrari,2,9,1959 United States Grand Prix
3,BRM,1,2,1959 United States Grand Prix
4,Lotus,0,0,1959 United States Grand Prix
1,Cooper,1,3,1960 Argentine Grand Prix
2,Ferrari,0,1,1960 Argentine Grand Prix
3,Cooper,1,3,1960 Argentine Grand Prix
4,Lotus,0,0,1960 Argentine Grand Prix
1,Cooper,1,4,1960 Monaco Grand Prix
2,Ferrari,0,2,1960 Monaco Grand Prix
3,Lotus,1,1,1960 Monaco Grand Prix
4,Cooper,1,4,1960 Monaco Grand Prix
5,BRM,0,0,1960 Monaco Grand Prix
1,Cooper,1,4,1960 Indianapolis 500
2,Ferrari,0,2,1960 Indianapolis 500
3,Lotus,1,1,1960 Indianapolis 500
4,Cooper,1,4,1960 Indianapolis 500
5,BRM,0,0,1960 Indianapolis 500
1,Cooper,2,5,1960 Dutch Grand Prix
2,Lotus,1,2,1960 Dutch Grand Prix
3,Ferrari,0,2,1960 Dutch Grand Prix
4,BRM,0,1,1960 Dutch Grand Prix
5,Cooper,2,5,1960 Dutch Grand Prix
1,Cooper,3,8,1960 Belgian Grand Prix
2,Lotus,1,2,1960 Belgian Grand Prix
3,Ferrari,0,2,1960 Belgian Grand Prix
4,BRM,0,1,1960 Belgian Grand Prix
5,Cooper,3,8,1960 Belgian Grand Prix
1,Cooper,4,11,1960 French Grand Prix
2,Lotus,1,2,1960 French Grand Prix
3,Ferrari,0,2,1960 French Grand Prix
4,BRM,0,1,1960 French Grand Prix
5,Cooper,4,11,1960 French Grand Prix
1,Cooper,5,12,1960 British Grand Prix
2,Lotus,1,4,1960 British Grand Prix
3,Ferrari,0,2,1960 British Grand Prix
4,BRM,0,1,1960 British Grand Prix
5,Cooper,5,12,1960 British Grand Prix
1,Cooper,6,14,1960 Portuguese Grand Prix
2,Lotus,1,5,1960 Portuguese Grand Prix
3,Ferrari,0,2,1960 Portuguese Grand Prix
4,BRM,0,1,1960 Portuguese Grand Prix
5,Cooper,6,14,1960 Portuguese Grand Prix
1,Cooper,6,14,1960 Italian Grand Prix
2,Lotus,1,5,1960 Italian Grand Prix
3,Ferrari,1,5,1960 Italian Grand Prix
4,BRM,0,1,1960 Italian Grand Prix
5,Cooper,6,14,1960 Italian Grand Prix
6,Cooper,6,14,1960 Italian Grand Prix
7,Porsche,0,0,1960 Italian Grand Prix
1,Cooper,6,15,1960 United States Grand Prix
2,Lotus,2,7,1960 United States Grand Prix
3,Ferrari,1,5,1960 United States Grand Prix
4,BRM,0,1,1960 United States Grand Prix
5,Cooper,6,15,1960 United States Grand Prix
6,Cooper,6,15,1960 United States Grand Prix
7,Porsche,0,0,1960 United States Grand Prix
1,Lotus,1,1,1961 Monaco Grand Prix
2,Ferrari,0,2,1961 Monaco Grand Prix
3,Porsche,0,0,1961 Monaco Grand Prix
4,Cooper,0,0,1961 Monaco Grand Prix
1,Ferrari,1,4,1961 Dutch Grand Prix
2,Lotus,1,2,1961 Dutch Grand Prix
3,Porsche,0,0,1961 Dutch Grand Prix
4,Cooper,0,0,1961 Dutch Grand Prix
1,Ferrari,2,7,1961 Belgian Grand Prix
2,Lotus,1,2,1961 Belgian Grand Prix
3,Cooper,0,0,1961 Belgian Grand Prix
4,Porsche,0,0,1961 Belgian Grand Prix
1,Ferrari,3,8,1961 French Grand Prix
2,Lotus,1,3,1961 French Grand Prix
3,Porsche,0,1,1961 French Grand Prix
4,Cooper,0,0,1961 French Grand Prix
5,BRM,0,0,1961 French Grand Prix
1,Ferrari,4,11,1961 British Grand Prix
2,Lotus,1,3,1961 British Grand Prix
3,Porsche,0,1,1961 British Grand Prix
4,Cooper,0,0,1961 British Grand Prix
5,BRM,0,0,1961 British Grand Prix
1,Ferrari,4,13,1961 German Grand Prix
2,Lotus,2,4,1961 German Grand Prix
3,Porsche,0,1,1961 German Grand Prix
4,Cooper,0,0,1961 German Grand Prix
5,BRM,0,0,1961 German Grand Prix
1,Ferrari,5,14,1961 Italian Grand Prix
2,Lotus,2,4,1961 Italian Grand Prix
3,Porsche,0,2,1961 Italian Grand Prix
4,Cooper,0,1,1961 Italian Grand Prix
5,BRM,0,0,1961 Italian Grand Prix
1,Ferrari,5,14,1961 United States Grand Prix
2,Lotus,3,5,1961 United States Grand Prix
3,Porsche,0,3,1961 United States Grand Prix
4,Cooper,0,1,1961 United States Grand Prix
5,BRM,0,1,1961 United States Grand Prix
1,BRM,1,1,1962 Dutch Grand Prix
2,Lotus,0,1,1962 Dutch Grand Prix
3,Ferrari,0,1,1962 Dutch Grand Prix
4,Cooper,0,0,1962 Dutch Grand Prix
5,Porsche,0,0,1962 Dutch Grand Prix
1,Cooper,1,1,1962 Monaco Grand Prix
2,BRM,1,1,1962 Monaco Grand Prix
3,Ferrari,0,3,1962 Monaco Grand Prix
4,Lotus,0,1,1962 Monaco Grand Prix
5,Lola,0,0,1962 Monaco Grand Prix
6,Porsche,0,0,1962 Monaco Grand Prix
1,BRM,1,2,1962 Belgian Grand Prix
2,Lotus,1,2,1962 Belgian Grand Prix
3,Ferrari,0,4,1962 Belgian Grand Prix
4,Cooper,1,1,1962 Belgian Grand Prix
5,Lola,0,0,1962 Belgian Grand Prix
6,Porsche,0,0,1962 Belgian Grand Prix
1,BRM,1,3,1962 French Grand Prix
2,Cooper,1,2,1962 French Grand Prix
3,Lotus,1,2,1962 French Grand Prix
4,Ferrari,0,4,1962 French Grand Prix
5,Porsche,1,1,1962 French Grand Prix
6,Lola,0,0,1962 French Grand Prix
1,Lotus,2,3,1962 British Grand Prix
2,BRM,1,3,1962 British Grand Prix
3,Cooper,1,3,1962 British Grand Prix
4,Ferrari,0,4,1962 British Grand Prix
5,Lola,0,1,1962 British Grand Prix
6,Porsche,1,1,1962 British Grand Prix
1,BRM,2,4,1962 German Grand Prix
2,Lotus,2,3,1962 German Grand Prix
3,Cooper,1,3,1962 German Grand Prix
4,Lola,0,2,1962 German Grand Prix
5,Porsche,1,2,1962 German Grand Prix
6,Ferrari,0,4,1962 German Grand Prix
1,BRM,3,6,1962 Italian Grand Prix
2,Lotus,2,3,1962 Italian Grand Prix
3,Cooper,1,4,1962 Italian Grand Prix
4,Lola,0,2,1962 Italian Grand Prix
5,Ferrari,0,4,1962 Italian Grand Prix
6,Porsche,1,2,1962 Italian Grand Prix
1,BRM,3,7,1962 United States Grand Prix
2,Lotus,3,4,1962 United States Grand Prix
3,Cooper,1,5,1962 United States Grand Prix
4,Lola,0,2,1962 United States Grand Prix
5,Porsche,1,2,1962 United States Grand Prix
6,Ferrari,0,4,1962 United States Grand Prix
7,Brabham,0,0,1962 United States Grand Prix
8,Lotus,3,4,1962 United States Grand Prix
1,BRM,4,8,1962 South African Grand Prix
2,Lotus,3,4,1962 South African Grand Prix
3,Cooper,1,7,1962 South African Grand Prix
4,Lola,0,2,1962 South African Grand Prix
5,Porsche,1,2,1962 South African Grand Prix
6,Ferrari,0,4,1962 South African Grand Prix
7,Brabham,0,0,1962 South African Grand Prix
8,Lotus,3,4,1962 South African Grand Prix
1,BRM,1,2,1963 Monaco Grand Prix
2,Cooper,0,1,1963 Monaco Grand Prix
3,Ferrari,0,0,1963 Monaco Grand Prix
4,Lotus,0,0,1963 Monaco Grand Prix
1,BRM,1,2,1963 Belgian Grand Prix
2,Lotus,1,1,1963 Belgian Grand Prix
3,Cooper,0,2,1963 Belgian Grand Prix
4,Brabham,0,1,1963 Belgian Grand Prix
5,Ferrari,0,0,1963 Belgian Grand Prix
6,Porsche,0,0,1963 Belgian Grand Prix
1,Lotus,2,2,1963 Dutch Grand Prix
2,BRM,1,2,1963 Dutch Grand Prix
3,Cooper,0,2,1963 Dutch Grand Prix
4,Brabham,0,2,1963 Dutch Grand Prix
5,Ferrari,0,1,1963 Dutch Grand Prix
6,BRP,0,0,1963 Dutch Grand Prix
7,Porsche,0,0,1963 Dutch Grand Prix
1,Lotus,3,3,1963 French Grand Prix
2,Cooper,0,3,1963 French Grand Prix
3,BRM,1,3,1963 French Grand Prix
4,Brabham,0,2,1963 French Grand Prix
5,Ferrari,0,1,1963 French Grand Prix
6,BRP,0,0,1963 French Grand Prix
7,Porsche,0,0,1963 French Grand Prix
8,Lotus,3,3,1963 French Grand Prix
1,Lotus,4,4,1963 British Grand Prix
2,BRM,1,4,1963 British Grand Prix
3,Cooper,0,3,1963 British Grand Prix
4,Brabham,0,2,1963 British Grand Prix
5,Ferrari,0,2,1963 British Grand Prix
6,BRP,0,0,1963 British Grand Prix
7,Lotus,4,4,1963 British Grand Prix
8,Porsche,0,0,1963 British Grand Prix
1,Lotus,4,5,1963 German Grand Prix
2,BRM,1,5,1963 German Grand Prix
3,Ferrari,1,3,1963 German Grand Prix
4,Cooper,0,3,1963 German Grand Prix
5,Brabham,0,2,1963 German Grand Prix
6,Porsche,0,0,1963 German Grand Prix
7,Lotus,4,5,1963 German Grand Prix
8,BRP,0,0,1963 German Grand Prix
1,Lotus,5,6,1963 Italian Grand Prix
2,BRM,1,6,1963 Italian Grand Prix
3,Ferrari,1,3,1963 Italian Grand Prix
4,Cooper,0,4,1963 Italian Grand Prix
5,Brabham,0,2,1963 Italian Grand Prix
6,BRP,0,0,1963 Italian Grand Prix
7,Porsche,0,0,1963 Italian Grand Prix
8,Lotus,5,6,1963 Italian Grand Prix
1,Lotus,5,7,1963 United States Grand Prix
2,BRM,2,8,1963 United States Grand Prix
3,Ferrari,1,3,1963 United States Grand Prix
4,Cooper,0,4,1963 United States Grand Prix
5,Brabham,0,2,1963 United States Grand Prix
6,BRP,0,0,1963 United States Grand Prix
7,Porsche,0,0,1963 United States Grand Prix
8,Lotus,5,7,1963 United States Grand Prix
1,Lotus,6,8,1963 Mexican Grand Prix
2,BRM,2,9,1963 Mexican Grand Prix
3,Ferrari,1,3,1963 Mexican Grand Prix
4,Brabham,0,3,1963 Mexican Grand Prix
5,Cooper,0,4,1963 Mexican Grand Prix
6,BRP,0,0,1963 Mexican Grand Prix
7,Porsche,0,0,1963 Mexican Grand Prix
8,Lotus,6,8,1963 Mexican Grand Prix
